"st_x","st_y","num"
"49.854519760479","13.8707371257485",167
"50.32798","15.6362",10
"50.6942714285714","13.9407446428571",56
"50.34808","14.49232",15
"49.7136972222222","13.18323",180
"50.4861142857143","13.2939642857143",14
"49.9243244736842","16.1857302631579",38
"48.9483538461539","16.7282",52
"49.540396969697","15.3449393939394",66
"50.0171601036269","15.2074922279793",193
"49.9489920289855","15.3261188405797",69
"49.1493428571429","15.8224952380952",21
"50.0633813953488","14.2965302325581",43
"49.4033716981132","15.5752018867925",53
"49.4513933333333","17.10764",15
"49.3850239583334","13.2968416666667",192
"49.358259375","13.35998125",32
"49.7441125","13.58125625",16
"49.3957188679245","13.3105075471698",53
"49.3999923076923","13.2548346153846",26
"49.5151454545455","15.4163909090909",11
"49.330452","13.539892",25
"49.40815","13.279525",8
"50.4269117647059","15.3241705882353",51
"49.395095890411","15.5680082191781",73
"48.8456230769231","17.1266461538462",13
"49.1028628571429","16.60352",35
"50.69044","14.519472",25
"49.4159","15.2272846153846",13
"50.1324375","14.86165",8
"49.436924","15.603768",25
"50.7839117647059","14.6163647058824",17
"49.8482166666667","13.85365",6
"49.3943714285714","13.2782571428571",14
"49.6926181818182","18.1273836363636",33
"49.998","17.4781",6
"49.377847368421","13.3013947368421",19
"50.4238342217391","13.4708547956522",23
"48.9136045454545","18.0600681818182",22
"49.05692","15.8086333333333",15
"50.06271","15.7461",10
"50.3981642857143","16.1057595238095",42
"49.7769393442623","17.7409065573771",61
"50.6516571428571","13.8338142857143",7
"49.2926166666667","13.9825833333333",6
"49.2146","15.80885",22
"49.4315074074074","15.6092481481481",27
"49.7088740740741","18.1601925925926",27
"50.3220375","15.87005",8
"49.0120333333333","14.7882333333333",6
"48.9127375","13.7638125",8
"49.9332888888889","14.0197111111111",9
"49.1584181818182","16.5050727272727",11
"50.0442","14.2638142857143",7
"50.6897857142857","13.9746535714286",28
"49.3573076923077","14.2905153846154",13
"50.4716166666667","16.0918166666667",6
"50.3723916666667","15.808175",12
"50.7122583333333","13.9696666666667",12
"48.8534456521739","17.9654673913043",46
"49.73644","13.331",10
"49.9714","14.6150833333333",24
"50.08","14.2792285714286",7
"49.267875","13.622025",8
"50.45275","13.83279",10
"49.5529090909091","15.3580727272727",11
"49.5024714285714","14.2145142857143",7
"50.5100555555556","13.6717222222222",9
"49.0216","17.6575625",8
"50.6795571428571","14.0248571428571",7
"49.1346","17.4876333333333",9
"49.7704666666667","16.9137777777778",9
"50.0052","14.5631111111111",9
"50.0453","15.1203166666667",6
"49.484975","17.964125",8
"50.17288","14.4841533333333",15
"49.9434230769231","16.1643",13
"49.4222","15.6010909090909",11
"50.1844428571429","14.4952285714286",7
"49.60285","17.22222",10
"50.3419142857143","14.8733857142857",7
"49.09502","15.8674866666667",15
"49.9632333333333","14.62305",6
"49.182625","16.4844333333333",12
"49.77346","16.82102",10
"50.12995","14.7114",6
"50.43005","14.931025",8
"50.1901","15.8020833333333",6
"49.4393666666667","15.19415",6
"49.8653142857143","16.3251857142857",7
"49.1505636363636","16.8657909090909",11
"50.0435111111111","15.0762111111111",9
"49.6783381818182","13.4237215151515",33
"49.2648363","16.5650028",6
"49.4001142857143","13.2756571428571",7
"49.7299428571429","13.3241142857143",7
"50.0880052173913","14.3804860869565",115
"50.0394333333333","14.5766952380952",21
"50.1140736111111","14.4375055555556",72
"49.1065576923077","16.3723692307692",26
"50.5068444444444","13.6693777777778",9
"49.0489555555556","16.6031222222222",9
"49.58555","17.269",6
"49.4001684210526","15.5809368421053",19
"50.7650142857143","13.9697428571429",7
"50.0443666666667","14.5796",6
"49.9825833333333","14.6484833333333",6
"49.4032571428571","13.2936",7
"50.0717666666667","14.39805",6
"49.0177625","15.5865",8
